x,y,c
15,39,2
15,81,4
16,6,2
16,77,4
17,40,2
17,76,4
18,6,2
18,94,4
19,3,2
19,72,4
19,14,2
19,99,4
20,15,2
20,77,4
20,13,2
20,79,4
21,35,2
21,66,4
23,29,2
23,98,4
24,35,2
24,73,4
25,5,2
25,73,4
28,14,2
28,82,4
28,32,2
28,61,4
29,31,2
29,87,4
30,4,2
30,73,4
33,4,2
33,92,4
33,14,2
33,81,4
34,17,2
34,73,4
37,26,2
37,75,4
38,35,2
38,92,4
39,36,2
39,61,3
39,28,2
39,65,4
40,55,3
40,47,3
40,42,3
40,42,3
42,52,3
42,60,3
43,54,3
43,60,3
43,45,3
43,41,3
44,50,3
44,46,3
46,51,3
46,46,3
46,56,3
46,55,3
47,52,3
47,59,3
48,51,3
48,59,3
48,50,3
48,48,3
48,59,3
48,47,3
49,55,3
49,42,3
50,49,3
50,56,3
54,47,3
54,54,3
54,53,3
54,48,3
54,52,3
54,42,3
54,51,3
54,55,3
54,41,3
54,44,3
54,57,3
54,46,3
57,58,3
57,55,3
58,60,3
58,46,3
59,55,3
59,41,3
60,49,3
60,40,3
60,42,3
60,52,3
60,47,3
60,50,3
61,42,3
61,49,3
62,41,3
62,48,3
62,59,3
62,55,3
62,56,3
62,42,3
63,50,3
63,46,3
63,43,3
63,48,3
63,52,3
63,54,3
64,42,3
64,46,3
65,48,3
65,50,3
65,43,3
65,59,3
67,43,3
67,57,3
67,56,3
67,40,3
69,58,3
69,91,1
70,29,0
70,77,1
71,35,3
71,95,1
71,11,0
71,75,1
71,9,0
71,75,1
72,34,0
72,71,1
73,5,0
73,88,1
73,7,0
73,73,1
74,10,0
74,72,1
75,5,0
75,93,1
76,40,3
76,87,1
77,12,0
77,97,1
77,36,0
77,74,1
78,22,0
78,90,1
78,17,0
78,88,1
78,20,0
78,76,1
78,16,0
78,89,1
78,1,0
78,78,1
78,1,0
78,73,1
79,35,0
79,83,1
81,5,0
81,93,1
85,26,0
85,75,1
86,20,0
86,95,1
87,27,0
87,63,1
87,13,0
87,75,1
87,10,0
87,92,1
88,13,0
88,86,1
88,15,0
88,69,1
93,14,0
93,90,1
97,32,0
97,86,1
98,15,0
98,88,1
99,39,0
99,97,1
101,24,0
101,68,1
103,17,0
103,85,1
103,23,0
103,69,1
113,8,0
113,91,1
120,16,0
120,79,1
126,28,0
126,74,1
137,18,0
137,83,1
